MOTHER_TRUE_FD,MOTHER_origX_TRUE,MOTHER_origY_TRUE,MOTHER_origZ_TRUE
0.6711172,0.85173935,0.14217567,91.3216
0.12828483,0.84891546,0.13815984,11.755749
0.60518336,0.85335076,0.13773438,-10.760408
0.5779212,0.8525841,0.13605678,-43.19009
0.83768785,0.85379136,0.13508329,-56.21179
2.3928661,0.84622467,0.13544622,-24.389776
0.12890807,0.8516549,0.13735192,-33.664387
0.30981147,0.8514932,0.13702786,-23.051636
1.3913085,0.85165036,0.13560481,-50.097107
0.2320479,0.8502498,0.13730535,-10.062631
0.7084516,0.85333425,0.13814534,-5.743125
0.0,0.8480881,0.13843308,-1.0205337
1.2131878,0.8555407,0.13944893,26.82531
0.00075466593,0.84464246,0.13653539,46.460835
1.4796288,0.8478303,0.13653478,-22.221588
0.052174676,0.8525807,0.1380076,-47.042423
1.5327318,0.8485023,0.13686255,-14.708057
0.43317932,0.8574486,0.13630643,-67.221596
0.34183952,0.85198,0.13649757,-33.856884
3.42115,0.85215074,0.13954882,83.30351
0.07198602,0.8507377,0.13732786,-28.349394
0.5458222,0.8525014,0.13650511,-32.46801
0.4811234,0.8493745,0.13824971,30.494862
0.052693922,0.8485868,0.1380619,8.466564
0.3909943,0.8514651,0.13746154,-7.9839926
0.30221465,0.8492211,0.13833928,19.939487
0.39129296,0.85194385,0.13658716,-30.246883
0.69877404,0.8527984,0.13881932,29.129717
0.6790209,0.8532771,0.13836844,-2.8835135
0.38382903,0.8526089,0.13639486,-37.888344
0.8303086,0.8536713,0.13849409,-5.047388
0.064535655,0.85153896,0.13766885,-36.76919
0.23721758,0.84927917,0.13808662,10.404786
1.3867654,0.85758597,0.13615628,-72.582664
1.9853555,0.8477088,0.13581622,-37.203762
0.70155716,0.85174453,0.13820268,47.633717
0.75752264,0.8614363,0.13592832,-88.67998
0.3082691,0.849288,0.1383545,18.875528
0.025155334,0.8518601,0.13786393,-42.5405
0.49978796,0.85024685,0.1386982,25.765566
0.50036156,0.8527647,0.13843514,0.86829156
0.43797985,0.85044765,0.13850127,11.162271
0.57394904,0.85296524,0.13914886,6.795885
0.0,0.84486985,0.13662517,40.602917
0.30264184,0.8492345,0.13834193,19.789534
0.27758455,0.8496604,0.13789445,6.0397487
1.5266687,0.85169035,0.1356462,-50.78243
0.3688375,0.84966546,0.13827685,13.96338
0.9465872,0.8541647,0.13883957,40.72596
0.3333652,0.8504104,0.13759422,-0.21057387
2.0274055,0.85266787,0.13802122,18.972416
1.6122969,0.8545337,0.13920611,19.742226
1.2752146,0.85144407,0.13808522,-6.947738
0.14965145,0.8445463,0.13654824,52.454803
0.3369101,0.8488065,0.13816935,24.60304
0.6597579,0.8520586,0.13856822,30.624172
0.87726575,0.8540338,0.13877045,38.23734
0.90009356,0.85137063,0.1369669,-24.218657
0.3807022,0.8518612,0.13659409,-29.595064
1.4494238,0.8484066,0.13561611,-37.29526
0.7617662,0.85388374,0.13896322,1.9245659
0.71487033,0.85259044,0.13727431,-19.48896
1.4582862,0.851468,0.13799773,-3.85077
0.7098738,0.8543949,0.13942946,6.227563
0.6899911,0.85167646,0.13597661,-39.75868
0.494188,0.85230166,0.13674581,-26.428028
0.9677754,0.85367996,0.13523029,-55.563328
0.3665865,0.8515725,0.13731642,-12.976607
0.6703286,0.8506809,0.13881312,67.06354
1.1361605,0.85313207,0.13536963,-53.655773
0.33148083,0.8491316,0.1383304,20.919518
0.33279988,0.84475344,0.1363902,54.5829
0.12615332,0.8484879,0.13810366,17.209614
0.51913244,0.85244083,0.13722637,-16.18673
0.7676315,0.8523768,0.13723214,-20.439978
1.0356011,0.85550296,0.13946746,24.58021
0.14058134,0.85308397,0.13721724,-50.126347
0.6846886,0.8509998,0.13875815,64.10192
1.1964319,0.8531961,0.13879478,-1.0397952
0.27022496,0.8508032,0.1371628,-15.566847
0.19376764,0.8450326,0.13665748,48.0441
2.4423902,0.8533436,0.13992228,81.0577
2.0604377,0.85571337,0.13614258,-65.36135
0.1338186,0.85716623,0.1374625,-68.22122
0.34720504,0.8490948,0.13828842,22.318718
0.63389593,0.853372,0.13776435,-10.818088
0.47292724,0.8484233,0.13751657,35.60248
2.7649572,0.8481636,0.1359634,-1.5207427
1.9980233,0.8565365,0.13621452,-68.865776
0.1433684,0.8490916,0.13807468,8.641325
0.1445895,0.8544474,0.13738075,-57.383945
1.2076987,0.85396117,0.13550423,-57.45731
0.2925268,0.8495303,0.13796614,8.223552
0.6015717,0.85058767,0.13809402,33.321575
0.7401781,0.8542691,0.13958183,21.615784
2.664451,0.8464939,0.13502172,-29.599983
1.0401088,0.85354805,0.13942358,62.21967
1.0716372,0.8513459,0.13787481,-11.083772
0.31764278,0.84591734,0.13770346,70.86572
1.0625374,0.850852,0.13555856,-41.37293
0.2717192,0.84502685,0.13745624,70.84975
0.57993853,0.8533455,0.13814142,-5.1331325
1.14239,0.85087156,0.135458,-43.62655
0.89954865,0.85128736,0.13571815,-41.44606
1.3094016,0.85381454,0.1409925,79.84095
0.90785474,0.85223657,0.13768251,-14.061497
0.3338176,0.8505368,0.13747388,-3.2154691
1.696106,0.8529435,0.13835138,10.118146
2.397666,0.86447215,0.13807853,-94.40521
0.76218855,0.8520487,0.13911548,64.49943
0.60150564,0.8501598,0.13761292,37.37072
0.4512488,0.8519497,0.13697246,-18.061474
0.13457873,0.8492776,0.13775223,1.4076103
0.65639406,0.8588152,0.13559732,-78.11244
1.4455038,0.854675,0.13929768,45.916218
0.5902119,0.8530017,0.13746688,-14.209356
0.49036512,0.85258263,0.13837662,1.0459166
0.78483593,0.8515332,0.13585201,-41.62065
0.29903698,0.8481761,0.13780777,29.0225
0.0,0.85801595,0.13854891,-89.08356
0.82661927,0.8604304,0.13591632,-84.478485
0.08144803,0.8500692,0.137444,-19.789408
1.5765549,0.8547266,0.13920614,38.62154
0.3847614,0.8516802,0.13699667,-18.936161
1.327055,0.8552892,0.13952559,20.325857
0.36643767,0.8491989,0.13834678,21.847828
1.783458,0.8536934,0.13867374,18.76203
1.1470714,0.8557728,0.13943331,33.05712
1.1806501,0.8540029,0.1390875,2.695632
0.5335532,0.85252815,0.13730781,-14.676442
0.5378115,0.8522184,0.13899751,8.3703985
0.78914046,0.8528489,0.13769092,-13.040084
0.24704129,0.8480955,0.1377316,29.818335
2.1910887,0.8478263,0.1358436,-37.23949
0.64551,0.85933965,0.13559817,-80.652664
0.46071312,0.85588014,0.13654767,-57.971344
0.2856468,0.84539974,0.13759848,71.17725
0.39598006,0.8500279,0.13828377,10.457855
0.5834122,0.8505619,0.13837424,31.19515
0.28118068,0.8509423,0.13714097,-16.355867
1.6989642,0.84694624,0.13609043,-28.470407
1.635938,0.8619195,0.13673356,-85.25492
0.74417233,0.86322814,0.13614796,-109.932144
0.21754684,0.84960717,0.13775405,2.2038503
0.5036551,0.8584352,0.13591515,-74.76095
0.6972479,0.8518587,0.13814019,42.895683
1.2600205,0.86409014,0.1374268,-107.196785
0.7674663,0.8607615,0.13585885,-85.83504
0.2716167,0.84771675,0.13753425,32.092968
0.8630743,0.8532562,0.13928163,60.374725
0.28930235,0.8578679,0.13657452,-71.18777
0.9250545,0.85478467,0.1390851,32.883106
0.5755925,0.85288596,0.13743173,-14.035125
0.0,0.860373,0.13542943,-110.73524
1.8618603,0.8557023,0.13591386,-66.9354
0.60559386,0.85340446,0.13825084,-3.8033524
0.42551777,0.8520915,0.13663204,-28.984562
0.7648591,0.8516618,0.13644242,-32.472553
0.9288902,0.8534546,0.13918358,57.403976
0.16152652,0.84925073,0.13803807,7.5157337
0.3988317,0.84954095,0.1384788,20.183811
0.049831282,0.84564495,0.13681334,38.72487
2.7847023,0.8494853,0.13636497,8.669843
0.1376371,0.8468827,0.13718271,35.173946
1.3546287,0.85206574,0.13829856,-3.339742
1.9642384,0.8530791,0.13826887,21.227377
1.6968874,0.85826546,0.14882423,144.61832
1.9907568,0.85110706,0.13731138,6.488734
0.7586678,0.8595841,0.13565879,-81.69605
0.17997251,0.852564,0.13697736,-46.220947
0.21662906,0.8445108,0.13654703,51.48222
0.640981,0.8537302,0.13952263,9.197229
0.11544159,0.8429452,0.13685846,69.63916
0.0,0.84283847,0.13623808,62.538963
0.38201004,0.84933704,0.13840343,21.348345
0.6444349,0.8503668,0.13905327,69.92115
0.3114655,0.8521939,0.13641247,-38.638447
0.46551827,0.85236764,0.13658449,-30.935032
0.045515843,0.8468416,0.14273697,104.45728
0.849289,0.8535974,0.13872485,46.4106
0.15967639,0.8434629,0.13643138,60.356323
0.82624835,0.85522944,0.13981785,11.355326
3.1760433,0.84667575,0.13516504,-10.484417
0.47636223,0.8473721,0.13764036,64.07187
0.87083995,0.8553083,0.13972421,14.74029
1.5368818,0.84943515,0.13552734,-43.136765
0.5112371,0.85136664,0.13892105,13.772851
0.50068855,0.84993356,0.1415984,90.322754
0.9958427,0.85325515,0.13973004,67.25372
0.7101611,0.8529176,0.13754632,-14.544775
0.7782182,0.85341674,0.13853088,35.23706
0.4234785,0.8502183,0.13845694,11.966689
0.8744622,0.8546131,0.1391922,27.099438
0.5802644,0.85251737,0.13658138,-31.065678
0.8478388,0.85390437,0.13869384,-2.8296173
0.3073274,0.8530796,0.13651852,-46.01079
0.15794802,0.8517279,0.13731031,-33.347523
0.44879875,0.8506295,0.13849862,10.132026
0.5330991,0.85317576,0.13847533,-0.34292027
0.3859745,0.84950453,0.13847627,19.662287
0.2893856,0.8483115,0.14158496,93.44445
0.39793262,0.8583355,0.13600753,-74.01621
1.3175813,0.85438365,0.13917448,9.147494
0.28104034,0.8496376,0.1379134,6.6336727
1.7067647,0.85366243,0.13926958,62.515934
1.7857594,0.8513597,0.13759339,2.580011
0.21875517,0.8466616,0.13700315,38.584885
0.812256,0.8536835,0.1386068,37.63113
1.6376042,0.8532193,0.13851003,9.569834
0.66294223,0.8619948,0.13578695,-91.38049
0.422043,0.8559608,0.13663642,-58.373295
0.90844333,0.85465854,0.13910098,29.74088
1.9305899,0.84849846,0.13673903,-12.459326
1.2634431,0.854976,0.1392346,42.65617
0.660454,0.852309,0.13658258,-30.600655
0.35637885,0.8552813,0.13676521,-56.33294
0.5362674,0.8577177,0.13596512,-70.87932
2.5141861,0.84839296,0.13625608,-4.64089
1.7314641,0.8504066,0.13564816,-47.967953
0.19253209,0.8492571,0.13811547,9.867467
0.05123447,0.8470935,0.1374555,26.066843
0.7660318,0.8524809,0.13875867,54.27975
0.2777241,0.8496743,0.137878,5.7818265
0.42156175,0.8529527,0.13629694,-42.39633
0.50376827,0.8534648,0.13625231,-48.486687
0.5011972,0.8508324,0.13891542,21.229176
0.92251104,0.8546074,0.13926831,5.366062
0.2939743,0.84972274,0.13783678,5.2799506
0.9050622,0.8517932,0.13737927,-17.4361
3.5086288,0.85701376,0.13679028,-71.167786
0.18596324,0.84891796,0.138274,16.681755
2.4983997,0.8501979,0.13677302,9.470309
0.45376015,0.8533705,0.13626854,-46.320286
0.68184805,0.8511239,0.13852218,57.876728
0.95664006,0.8619209,0.13650174,-88.81189
0.88761187,0.85343367,0.13898996,53.75334
1.2780821,0.8545731,0.13926148,47.862926
1.2435182,0.85571676,0.13940305,36.065098
1.1490185,0.8529579,0.1386795,-3.2364414
1.7017472,0.85376287,0.14040688,77.89163
0.47644556,0.8498761,0.1385473,26.11716
0.5616833,0.8532122,0.13797233,-7.1431203
0.16539824,0.8578027,0.13710973,-73.01916
0.26702446,0.84981483,0.13767679,1.9174072
0.253272,0.85373586,0.13683139,-51.90347
0.24377377,0.844694,0.1365601,49.661335
0.920797,0.85468554,0.13932575,5.839219
1.2526358,0.85067827,0.1354826,-45.07949
0.25443265,0.84390587,0.13656043,64.71985
1.1734352,0.85048604,0.13759188,-12.121404
0.9331797,0.8510243,0.13603474,-35.53384
0.5313034,0.84907454,0.13757513,36.13384
1.1825726,0.8555925,0.13954505,24.9393
0.36375415,0.85156727,0.13729434,-13.476382
0.0034079077,0.8571155,0.13848685,-69.523026
0.5632523,0.8524588,0.13917975,10.726163
0.2599558,0.85140955,0.1371114,-25.47697
0.2649666,0.85055196,0.13724479,-12.412143
0.3175965,0.8583389,0.13618225,-74.00812
0.703764,0.8517863,0.13631831,-34.76803
0.37005284,0.85090435,0.13745002,-4.445164
0.5976025,0.8533418,0.13841563,-0.9896457
0.3392031,0.85199946,0.13648854,-34.234272
0.14598455,0.84837925,0.13807984,23.344847
0.0,0.8454243,0.1367357,37.394608
0.06886716,0.84853935,0.13804597,11.233839
0.49637213,0.85289246,0.13832378,-1.3001851
0.15106063,0.85804546,0.13708834,-74.94865
0.025278099,0.8519994,0.13790137,-43.937057
0.34720504,0.84757805,0.13976184,81.785736
0.410399,0.84965765,0.13851619,19.869972
0.649218,0.8577087,0.13574167,-71.819435
0.6135401,0.85297793,0.13737312,-16.21716
